Risk_ID,Equipment_ID,Score_Date,Breakdown_Probability,Risk_Category
RSK-600001,EQ-1135,2023-05-27,0.7953,High
RSK-600002,EQ-1100,2023-06-16,0.0612,Low
RSK-600003,EQ-1025,2023-04-11,0.012,Low
RSK-600004,EQ-1125,2024-01-30,0.2093,Low
RSK-600005,EQ-1119,2023-02-24,0.8152,Critical
RSK-600006,EQ-1071,2023-01-21,0.0414,Low
RSK-600007,EQ-1125,2023-02-27,0.8274,Critical
RSK-600008,EQ-1120,2023-09-12,0.6196,High
RSK-600009,EQ-1014,2023-02-20,0.6478,High
RSK-600010,EQ-1010,2023-09-28,0.9659,Critical
RSK-600011,EQ-1137,2023-03-13,0.1195,Low
RSK-600012,EQ-1043,2023-08-16,0.3935,Medium
RSK-600013,EQ-1117,2023-06-21,0.835,Critical
RSK-600014,EQ-1044,2023-11-09,0.744,High
RSK-600015,EQ-1045,2023-09-08,0.2432,Low
RSK-600016,EQ-1010,2023-03-25,0.5664,High
RSK-600017,EQ-1000,2023-10-10,0.54,Medium
RSK-600018,EQ-1086,2024-01-22,0.965,Critical
RSK-600019,EQ-1020,2023-07-26,0.25,Medium
RSK-600020,EQ-1132,2023-07-12,0.1364,Low
RSK-600021,EQ-1029,2023-08-11,0.2809,Medium
RSK-600022,EQ-1045,2023-01-10,0.1489,Low
RSK-600023,EQ-1133,2023-02-06,0.2263,Low
RSK-600024,EQ-1083,2023-03-31,0.5355,Medium
RSK-600025,EQ-1088,2023-04-15,0.4995,Medium
RSK-600026,EQ-1045,2023-08-07,0.9453,Critical
RSK-600027,EQ-1020,2023-06-29,0.8885,Critical
RSK-600028,EQ-1085,2023-07-29,0.6519,High
RSK-600029,EQ-1148,2024-05-05,0.0203,Low
RSK-600030,EQ-1046,2023-05-14,0.3108,Medium
RSK-600031,EQ-1078,2023-02-28,0.9164,Critical
RSK-600032,EQ-1090,2023-05-27,0.8872,Critical
RSK-600033,EQ-1048,2024-03-13,0.0747,Low
RSK-600034,EQ-1006,2023-09-08,0.1965,Low
RSK-600035,EQ-1080,2023-03-21,0.5629,High
RSK-600036,EQ-1050,2023-12-17,0.7956,High
RSK-600037,EQ-1125,2024-01-04,0.5879,High
RSK-600038,EQ-1094,2023-02-20,0.5757,High
RSK-600039,EQ-1031,2024-03-30,0.9317,Critical
RSK-600040,EQ-1003,2023-06-20,0.2195,Low
