Equipment_ID,Equipment_Type,Purchase_Date,Owner_Farm_ID
EQ-1000,Baler,2018-04-15,FARM-121
EQ-1001,Sprayer,2019-08-17,FARM-104
EQ-1002,Sprayer,2018-06-02,FARM-101
EQ-1003,Sprayer,2019-12-03,FARM-124
EQ-1004,Seeder,2021-11-14,FARM-109
EQ-1005,Plow,2019-12-28,FARM-108
EQ-1006,Sprayer,2021-05-21,FARM-108
EQ-1007,Combine Harvester,2018-06-19,FARM-105
EQ-1008,Cultivator,2021-07-17,FARM-124
EQ-1009,Plow,2020-04-09,FARM-104
EQ-1010,Sprayer,2021-06-09,FARM-122
EQ-1011,Tractor,2017-08-26,FARM-124
EQ-1012,Sprayer,2018-12-23,FARM-118
EQ-1013,Seeder,2018-05-01,FARM-103
EQ-1014,Cultivator,2020-02-10,FARM-119
EQ-1015,Excavator,2020-10-29,FARM-114
EQ-1016,Tractor,2021-03-02,FARM-102
EQ-1017,Combine Harvester,2022-01-01,FARM-101
EQ-1018,Seeder,2021-10-18,FARM-103
EQ-1019,Tractor,2020-07-16,FARM-107
EQ-1020,Excavator,2021-11-10,FARM-108
EQ-1021,Baler,2022-05-29,FARM-117
EQ-1022,Sprayer,2022-04-12,FARM-120
EQ-1023,Seeder,2019-06-26,FARM-101
EQ-1024,Sprayer,2021-08-01,FARM-118
EQ-1025,Excavator,2022-01-01,FARM-107
EQ-1026,Combine Harvester,2022-04-26,FARM-123
EQ-1027,Combine Harvester,2020-08-28,FARM-121
EQ-1028,Tractor,2018-12-26,FARM-123
EQ-1029,Tractor,2017-09-27,FARM-118
EQ-1030,Seeder,2018-11-16,FARM-114
EQ-1031,Combine Harvester,2022-01-01,FARM-108
EQ-1032,Sprayer,2021-10-28,UNKNOWN_FARM
EQ-1033,Sprayer,2018-11-08,FARM-119
EQ-1034,Tractor,2022-06-30,FARM-109
EQ-1035,Seeder,2018-11-27,FARM-101
EQ-1036,Baler,2017-07-16,FARM-125
EQ-1037,Tractor,2021-09-21,FARM-106
EQ-1038,Seeder,2021-03-26,FARM-123
EQ-1039,Seeder,2018-02-24,FARM-114
EQ-1040,Seeder,2020-06-29,FARM-111
EQ-1041,Cultivator,2018-12-02,FARM-109
EQ-1042,Baler,2019-06-22,FARM-105
EQ-1043,Plow,2020-04-13,FARM-107
EQ-1044,Cultivator,2022-09-20,FARM-125
EQ-1045,Seeder,2020-09-08,FARM-111
EQ-1046,Combine Harvester,2018-09-10,FARM-104
EQ-1047,Baler,2021-08-27,FARM-103
EQ-1048,Sprayer,2020-06-14,FARM-113
EQ-1049,Plow,2020-02-14,FARM-104
EQ-1050,Baler,2019-01-13,FARM-112
EQ-1051,Seeder,2018-12-16,FARM-112
EQ-1052,Combine Harvester,2020-03-05,FARM-120
EQ-1053,Seeder,2021-11-25,FARM-109
EQ-1054,Combine Harvester,2018-05-13,FARM-102
EQ-1055,Combine Harvester,2017-08-02,FARM-124
EQ-1056,Plow,2018-06-30,FARM-115
EQ-1057,Excavator,2017-09-12,FARM-118
EQ-1058,Sprayer,2018-06-08,FARM-104
EQ-1059,Seeder,2021-03-16,FARM-113
EQ-1060,Baler,2018-10-08,FARM-103
EQ-1061,Seeder,2020-05-16,UNKNOWN_FARM
EQ-1062,Cultivator,2020-01-21,FARM-110
EQ-1063,Cultivator,2019-09-17,FARM-121
EQ-1064,Cultivator,2020-03-01,FARM-120
EQ-1065,Cultivator,2018-09-01,FARM-112
EQ-1066,Baler,2019-05-30,FARM-119
EQ-1067,Seeder,2021-09-16,FARM-107
EQ-1068,Cultivator,2021-03-03,FARM-123
EQ-1069,Sprayer,2022-06-09,FARM-103
EQ-1070,Tractor,2021-05-05,FARM-102
EQ-1071,Cultivator,2022-02-01,FARM-122
EQ-1072,Combine Harvester,2018-05-15,UNKNOWN_FARM
EQ-1073,Cultivator,2020-07-03,FARM-125
EQ-1074,Sprayer,2017-12-17,FARM-110
EQ-1075,Sprayer,2020-04-29,UNKNOWN_FARM
EQ-1076,Excavator,2022-02-19,FARM-108
EQ-1077,Baler,2018-08-13,FARM-104
EQ-1078,Excavator,2020-04-14,FARM-113
EQ-1079,Sprayer,2017-10-14,FARM-109
EQ-1080,Excavator,2017-12-16,FARM-115
EQ-1081,Sprayer,2019-12-08,FARM-121
EQ-1082,Excavator,2020-06-13,FARM-112
EQ-1083,Tractor,2022-03-17,FARM-106
EQ-1084,Plow,2020-05-05,FARM-112
EQ-1085,Seeder,2022-01-19,FARM-112
EQ-1086,Seeder,2021-07-07,FARM-107
EQ-1087,Combine Harvester,2018-01-22,UNKNOWN_FARM
EQ-1088,Sprayer,2022-06-22,FARM-109
EQ-1089,Excavator,2022-02-25,FARM-123
EQ-1090,Tractor,2021-04-24,FARM-122
EQ-1091,Cultivator,2018-11-18,FARM-121
EQ-1092,Combine Harvester,2019-08-08,FARM-103
EQ-1093,Excavator,2017-08-20,FARM-120
EQ-1094,Combine Harvester,2018-06-14,FARM-121
EQ-1095,Combine Harvester,2021-07-11,FARM-106
EQ-1096,Sprayer,2022-07-19,FARM-118
EQ-1097,Sprayer,2018-04-24,FARM-124
EQ-1098,Combine Harvester,2019-02-05,FARM-108
EQ-1099,Sprayer,2020-04-07,FARM-106
EQ-1100,Excavator,2020-04-10,FARM-115
EQ-1101,Sprayer,2022-08-02,FARM-113
EQ-1102,Sprayer,2019-01-07,FARM-109
EQ-1103,Excavator,2017-08-04,FARM-121
EQ-1104,Excavator,2020-10-11,FARM-123
EQ-1105,Excavator,2021-02-10,FARM-118
EQ-1106,Combine Harvester,2020-11-30,FARM-108
EQ-1107,Seeder,2019-09-08,FARM-122
EQ-1108,Excavator,2018-06-20,FARM-111
EQ-1109,Excavator,2022-01-18,FARM-125
EQ-1110,Baler,2020-12-26,FARM-125
EQ-1111,Excavator,2022-01-26,FARM-102
EQ-1112,Cultivator,2018-01-18,FARM-108
EQ-1113,Baler,2017-11-19,FARM-102
EQ-1114,Sprayer,2018-02-16,FARM-111
EQ-1115,Excavator,2017-11-16,FARM-113
EQ-1116,Excavator,2020-12-03,FARM-109
EQ-1117,Cultivator,2022-06-26,FARM-103
EQ-1118,Baler,2019-12-14,FARM-107
EQ-1119,Seeder,2022-01-01,FARM-119
EQ-1120,Baler,2022-04-23,FARM-123
EQ-1121,Plow,2017-12-13,FARM-111
EQ-1122,Excavator,2017-11-02,FARM-107
EQ-1123,Seeder,2018-07-17,FARM-121
EQ-1124,Tractor,2018-11-02,FARM-116
EQ-1125,Baler,2020-08-17,FARM-113
EQ-1126,Baler,2022-04-15,FARM-121
EQ-1127,Seeder,2020-02-22,FARM-115
EQ-1128,Sprayer,2018-12-06,FARM-105
EQ-1129,Cultivator,2018-11-10,FARM-109
EQ-1130,Seeder,2020-08-03,FARM-105
EQ-1131,Cultivator,2021-10-03,FARM-108
EQ-1132,Tractor,2017-08-16,FARM-124
EQ-1133,Plow,2021-07-02,FARM-118
EQ-1134,Baler,2022-01-01,FARM-118
EQ-1135,Baler,2018-08-16,FARM-109
EQ-1136,Plow,2019-10-02,FARM-124
EQ-1137,Sprayer,2018-07-18,FARM-119
EQ-1138,Seeder,2017-11-27,FARM-114
EQ-1139,Combine Harvester,2018-04-18,FARM-119
EQ-1140,Sprayer,2019-06-14,FARM-113
EQ-1141,Plow,2017-08-06,FARM-112
EQ-1142,Cultivator,2022-01-28,FARM-108
EQ-1143,Sprayer,2019-09-19,FARM-105
EQ-1144,Cultivator,2019-06-09,FARM-117
EQ-1145,Cultivator,2021-02-28,FARM-116
EQ-1146,Seeder,2017-12-07,FARM-103
EQ-1147,Tractor,2020-06-30,FARM-125
EQ-1148,Combine Harvester,2019-02-17,FARM-102
EQ-1149,Seeder,2022-05-06,FARM-104
