Field_ID,Field_Name,Area_Acres
FLD-500,East Pasture Sector 1,331.72
FLD-501,Lowland Plot Sector 2,83.68
FLD-502,North Field B Sector 3,79.3
FLD-503,West Acres Sector 4,331.47
FLD-504,Pine Valley Sector 5,301.57
FLD-505,North Field B Sector 6,194.57
FLD-506,Green Meadows Sector 7,72.62
FLD-507,Sunny Valley Sector 8,372.0
FLD-508,Pine Valley Sector 9,55.79
FLD-509,Pine Valley Sector 10,187.3
FLD-510,West Acres Sector 11,476.07
FLD-511,West Acres Sector 12,248.27
FLD-512,South Field 2 Sector 13,85.92
FLD-513,East Pasture Sector 14,59.56
FLD-514,Green Meadows Sector 15,371.94
FLD-515,Riverbend Farm Sector 16,235.11
FLD-516,Lowland Plot Sector 17,74.21
FLD-517,Valley Meadow Sector 18,98.61
FLD-518,Sunny Valley Sector 19,406.43
FLD-519,South Field 1 Sector 20,31.41
FLD-520,West Acres Sector 21,126.39
FLD-521,Hillside Plot Sector 22,378.67
FLD-522,Green Meadows Sector 23,271.67
FLD-523,East Pasture Sector 24,394.34
FLD-524,Lowland Plot Sector 25,190.24
FLD-525,Oak Ridge Sector 26,236.22
FLD-526,East Pasture Sector 27,256.42
FLD-527,Valley Meadow Sector 28,410.28
FLD-528,Green Meadows Sector 29,437.77
FLD-529,North Field A Sector 30,438.32
FLD-530,Riverbend Farm Sector 31,358.59
FLD-531,Riverbend Farm Sector 32,149.68
FLD-532,Green Meadows Sector 33,230.17
FLD-533,Riverbend Farm Sector 34,224.36
FLD-534,Lowland Plot Sector 35,231.05
FLD-535,West Acres Sector 36,213.3
FLD-536,Valley Meadow Sector 37,125.53
FLD-537,North Field B Sector 38,23.81
FLD-538,Lowland Plot Sector 39,360.21
FLD-539,West Acres Sector 40,77.42
FLD-540,East Pasture Sector 41,241.5
FLD-541,Highland Farm Sector 42,355.71
FLD-542,Hillside Plot Sector 43,453.87
FLD-543,North Field A Sector 44,419.13
FLD-544,Riverbend Farm Sector 45,308.35
FLD-545,Valley Meadow Sector 46,151.17
FLD-546,East Pasture Sector 47,126.84
FLD-547,Pine Valley Sector 48,233.99
FLD-548,North Field B Sector 49,254.92
FLD-549,Riverbend Farm Sector 50,235.11
