Fuel_ID,Equipment_ID,Usage_Date,Fuel_Liters
FUEL-200001,EQ-1081,2023-09-16,75.97
FUEL-200002,EQ-1107,2023-07-04,120.37
FUEL-200003,EQ-1010,2023-11-18,96.5
FUEL-200004,EQ-1059,2024-03-27,77.21
FUEL-200005,EQ-1099,2023-11-05,179.41
FUEL-200006,EQ-1035,2023-11-06,162.22
FUEL-200007,EQ-1019,2023-06-26,178.44
FUEL-200008,EQ-1010,2024-02-12,74.22
FUEL-200009,EQ-1131,2023-12-30,148.55
FUEL-200010,EQ-1018,2023-04-02,139.34
FUEL-200011,EQ-1130,2023-04-17,164.52
FUEL-200013,EQ-1051,2023-11-01,85.59
FUEL-200015,EQ-1098,2024-01-01,26.21
FUEL-200016,EQ-1046,2024-05-12,86.7
FUEL-200017,EQ-1057,2023-03-18,141.94
FUEL-200018,EQ-1040,2024-05-06,102.04
FUEL-200019,EQ-1115,2023-12-15,158.62
FUEL-200020,EQ-1100,2023-01-16,163.2
FUEL-200021,EQ-1015,2023-02-01,164.31
FUEL-200022,EQ-1084,2024-04-19,148.18
FUEL-200023,EQ-1142,2023-08-31,179.58
FUEL-200024,EQ-1031,2023-05-25,96.5
FUEL-200025,EQ-1032,2023-09-30,86.2
FUEL-200026,EQ-1087,2023-04-03,76.02
FUEL-200027,EQ-1064,2023-06-24,99.18
FUEL-200028,EQ-1146,2023-05-07,118.68
FUEL-200029,EQ-1043,2023-04-03,96.5
FUEL-200030,EQ-1065,2024-03-29,115.71
FUEL-200031,EQ-1002,2023-02-04,42.12
FUEL-200032,EQ-1114,2023-02-01,158.65
FUEL-200033,EQ-1115,2023-02-02,122.02
FUEL-200034,EQ-1068,2023-04-26,163.27
FUEL-200035,EQ-1061,2023-10-09,116.52
FUEL-200036,EQ-1066,2024-02-24,130.93
FUEL-200037,EQ-1142,2023-11-22,57.07
FUEL-200038,EQ-1044,2023-09-07,90.26
FUEL-200039,EQ-1122,2024-02-05,40.88
FUEL-200040,EQ-1125,2023-04-19,47.59
FUEL-200041,EQ-1074,2023-01-11,80.64
FUEL-200042,EQ-1106,2024-03-19,116.86
FUEL-200043,EQ-1139,2023-09-25,169.39
FUEL-200044,EQ-1019,2023-09-15,57.51
FUEL-200045,EQ-1103,2023-11-30,96.5
FUEL-200046,EQ-1116,2023-02-22,90.94
FUEL-200047,EQ-1036,2023-06-20,113.61
FUEL-200048,EQ-1014,2023-01-14,56.44
FUEL-200049,EQ-1068,2023-03-07,72.07
FUEL-200050,EQ-1080,2023-09-23,69.99
FUEL-200051,EQ-1113,2023-02-17,96.5
FUEL-200052,EQ-1116,2023-08-30,31.04
FUEL-200053,EQ-1100,2024-04-06,41.62
FUEL-200054,EQ-1082,2023-01-05,134.53
FUEL-200055,EQ-1044,2024-02-22,89.44
FUEL-200056,EQ-1017,2023-05-30,89.09
FUEL-200057,EQ-1010,2023-04-30,96.5
FUEL-200058,EQ-1109,2023-09-30,58.85
FUEL-200059,EQ-1055,2023-06-18,92.69
FUEL-200060,EQ-1130,2023-09-21,119.4
FUEL-200061,EQ-1076,2023-12-09,81.63
FUEL-200062,EQ-1049,2024-01-20,19.47
FUEL-200063,EQ-1005,2023-05-21,139.8
FUEL-200064,EQ-1022,2023-11-11,119.06
FUEL-200065,EQ-1012,2023-08-09,96.5
FUEL-200066,EQ-1148,2024-01-13,50.56
FUEL-200067,EQ-1038,2024-01-06,152.63
FUEL-200069,EQ-1076,2023-09-08,176.21
FUEL-200070,EQ-1131,2023-01-18,96.5
FUEL-200071,EQ-1083,2023-12-16,96.5
FUEL-200072,EQ-1051,2023-03-02,96.5
FUEL-200073,EQ-1091,2023-09-10,71.77
FUEL-200074,EQ-1147,2023-06-20,127.76
FUEL-200075,EQ-1027,2023-11-02,157.61
FUEL-200076,EQ-1060,2023-07-14,17.98
FUEL-200077,EQ-1094,2024-05-15,178.36
FUEL-200079,EQ-1106,2023-01-10,47.28
FUEL-200080,EQ-1068,2024-04-03,171.08
FUEL-200081,EQ-1095,2023-04-11,44.55
FUEL-200082,EQ-1088,2024-05-09,137.45
FUEL-200083,EQ-1143,2023-11-28,113.33
FUEL-200084,EQ-1011,2023-05-16,31.05
FUEL-200085,EQ-1103,2023-10-19,120.37
FUEL-200086,EQ-1115,2024-01-23,48.8
FUEL-200089,EQ-1085,2023-12-13,179.26
FUEL-200090,EQ-1066,2023-03-15,177.87
FUEL-200091,EQ-1083,2024-02-01,115.44
FUEL-200093,EQ-1141,2024-02-09,25.16
FUEL-200094,EQ-1064,2023-09-24,112.77
FUEL-200095,EQ-1030,2024-04-18,154.34
FUEL-200096,EQ-1098,2023-02-08,96.5
FUEL-200097,EQ-1070,2023-09-21,137.27
FUEL-200098,EQ-1049,2023-12-07,96.5
FUEL-200099,EQ-1149,2023-05-26,39.11
FUEL-200100,EQ-1092,2023-08-09,129.24
FUEL-200101,EQ-1144,2023-10-05,34.99
FUEL-200102,EQ-1037,2023-10-29,65.8
FUEL-200103,EQ-1059,2023-03-22,37.36
FUEL-200104,EQ-1105,2024-02-21,64.26
FUEL-200105,EQ-1022,2024-04-14,96.5
FUEL-200106,EQ-1016,2023-03-26,151.22
FUEL-200107,EQ-1086,2023-07-08,134.95
FUEL-200108,EQ-1049,2023-07-18,43.91
FUEL-200109,EQ-1129,2023-01-12,96.5
FUEL-200110,EQ-1051,2023-09-20,116.27
FUEL-200111,EQ-1001,2023-11-11,86.94
FUEL-200112,EQ-1059,2023-07-23,95.93
FUEL-200113,EQ-1119,2023-05-27,166.2
FUEL-200114,EQ-1089,2024-01-15,76.57
FUEL-200115,EQ-1086,2023-02-16,84.99
FUEL-200116,EQ-1063,2023-11-17,58.64
FUEL-200117,EQ-1134,2023-09-03,96.5
FUEL-200118,EQ-1041,2023-01-12,66.87
FUEL-200119,EQ-1027,2023-12-01,95.96
FUEL-200120,EQ-1028,2023-05-06,52.48
FUEL-200121,EQ-1055,2023-01-31,96.5
FUEL-200122,EQ-1029,2023-02-27,55.98
FUEL-200123,EQ-1122,2023-09-15,116.83
FUEL-200124,EQ-1034,2024-04-01,65.45
FUEL-200125,EQ-1119,2023-07-24,89.23
FUEL-200126,EQ-1047,2023-06-29,72.36
FUEL-200127,EQ-1114,2023-12-20,131.58
FUEL-200128,EQ-1048,2023-04-22,116.63
FUEL-200129,EQ-1072,2023-09-13,30.7
FUEL-200130,EQ-1036,2024-03-28,38.49
FUEL-200131,EQ-1094,2024-04-22,106.06
FUEL-200132,EQ-1077,2023-04-29,136.88
FUEL-200133,EQ-1120,2023-06-07,33.48
FUEL-200134,EQ-1134,2024-02-18,104.95
FUEL-200135,EQ-1116,2023-03-07,169.4
FUEL-200136,EQ-1132,2023-07-25,44.33
FUEL-200137,EQ-1077,2023-06-23,155.36
FUEL-200138,EQ-1114,2023-02-05,125.56
FUEL-200139,EQ-1091,2023-11-27,102.22
FUEL-200140,EQ-1078,2023-05-23,98.98
FUEL-200141,EQ-1065,2023-03-29,85.58
FUEL-200142,EQ-1013,2023-05-27,103.86
FUEL-200143,EQ-1019,2023-07-28,150.9
FUEL-200144,EQ-1118,2023-05-28,91.36
FUEL-200145,EQ-1060,2023-12-21,164.1
FUEL-200146,EQ-1026,2023-06-12,60.75
FUEL-200147,EQ-1090,2023-06-25,96.5
FUEL-200148,EQ-1117,2023-11-04,119.1
FUEL-200150,EQ-1124,2023-04-11,111.98
FUEL-200151,EQ-1027,2023-11-23,23.62
FUEL-200152,EQ-1093,2023-06-25,92.41
FUEL-200153,EQ-1136,2023-07-01,160.06
FUEL-200154,EQ-1069,2023-04-21,35.99
FUEL-200155,EQ-1070,2023-07-02,41.72
FUEL-200156,EQ-1087,2023-03-22,91.12
FUEL-200157,EQ-1012,2023-11-15,54.37
FUEL-200158,EQ-1041,2024-05-13,145.22
FUEL-200159,EQ-1015,2023-07-11,165.22
FUEL-200160,EQ-1029,2023-12-11,72.95
FUEL-200161,EQ-1055,2023-07-23,20.49
FUEL-200162,EQ-1043,2023-01-17,96.5
FUEL-200163,EQ-1014,2024-04-30,129.93
FUEL-200164,EQ-1119,2023-06-11,19.53
FUEL-200165,EQ-1133,2023-08-09,44.39
FUEL-200166,EQ-1008,2023-09-11,90.15
FUEL-200167,EQ-1043,2023-03-26,165.57
FUEL-200168,EQ-1145,2023-04-09,28.54
FUEL-200169,EQ-1100,2024-03-29,97.94
FUEL-200170,EQ-1132,2023-01-30,169.15
FUEL-200171,EQ-1038,2024-04-28,96.48
FUEL-200172,EQ-1011,2023-05-19,96.5
FUEL-200173,EQ-1061,2023-11-19,20.72
FUEL-200174,EQ-1028,2024-04-19,119.12
FUEL-200175,EQ-1033,2023-08-28,161.51
FUEL-200176,EQ-1076,2023-12-10,93.14
FUEL-200177,EQ-1097,2023-02-07,177.97
FUEL-200178,EQ-1067,2023-05-31,158.03
FUEL-200179,EQ-1042,2023-11-13,83.24
FUEL-200180,EQ-1043,2023-05-02,142.32
FUEL-200181,EQ-1101,2023-01-05,112.87
FUEL-200182,EQ-1103,2023-06-13,114.86
FUEL-200183,EQ-1029,2023-02-09,127.46
FUEL-200184,EQ-1045,2024-02-12,36.57
FUEL-200185,EQ-1036,2024-04-18,93.94
FUEL-200186,EQ-1099,2023-02-14,165.77
FUEL-200187,EQ-1093,2024-03-06,17.32
FUEL-200188,EQ-1149,2023-10-14,147.44
FUEL-200189,EQ-1120,2023-09-19,155.56
FUEL-200190,EQ-1106,2023-09-25,96.5
FUEL-200191,EQ-1005,2023-09-04,96.5
FUEL-200192,EQ-1047,2024-02-20,96.5
FUEL-200193,EQ-1051,2023-12-21,107.45
FUEL-200194,EQ-1060,2024-04-03,92.92
FUEL-200195,EQ-1115,2024-02-26,82.26
FUEL-200196,EQ-1128,2023-11-15,159.54
FUEL-200197,EQ-1063,2024-01-09,50.35
FUEL-200198,EQ-1079,2023-01-16,151.79
FUEL-200199,EQ-1128,2023-02-23,146.91
FUEL-200200,EQ-1007,2023-11-04,134.32
FUEL-200201,EQ-1112,2023-03-17,114.38
FUEL-200202,EQ-1034,2023-07-19,45.59
FUEL-200203,EQ-1037,2023-02-22,79.74
FUEL-200204,EQ-1148,2023-04-07,29.08
FUEL-200205,EQ-1101,2023-06-23,43.63
FUEL-200206,EQ-1075,2024-03-02,149.2
FUEL-200207,EQ-1001,2024-05-01,82.01
FUEL-200208,EQ-1078,2024-04-09,162.92
FUEL-200209,EQ-1000,2023-08-21,175.61
FUEL-200210,EQ-1084,2024-04-19,124.63
FUEL-200211,EQ-1130,2023-06-24,84.39
FUEL-200212,EQ-1092,2023-07-01,179.7
FUEL-200213,EQ-1105,2023-10-27,65.55
FUEL-200214,EQ-1146,2024-02-11,136.76
FUEL-200215,EQ-1050,2024-03-30,85.92
FUEL-200216,EQ-1030,2023-09-12,31.3
FUEL-200217,EQ-1047,2023-12-15,94.13
FUEL-200218,EQ-1131,2023-02-17,96.5
FUEL-200219,EQ-1059,2023-05-12,96.5
FUEL-200220,EQ-1045,2023-10-30,48.96
FUEL-200221,EQ-1043,2023-08-31,50.9
FUEL-200222,EQ-1109,2024-01-10,173.9
