Maintenance_ID,Equipment_ID,Maintenance_Date,Type,Cost
MNT-300001,EQ-1037,2023-11-23,Brake Check,2971.22
MNT-300002,EQ-1027,2023-10-15,Routine Service,1981.97
MNT-300003,EQ-1080,2023-03-11,Hydraulic Repair,2875.04
MNT-300004,EQ-1130,2023-05-10,Filter Change,1178.47
MNT-300005,EQ-1039,2023-07-26,Brake Check,2711.62
MNT-300006,EQ-1138,2024-02-21,Filter Change,1631.78
MNT-300007,EQ-1072,2023-03-24,Routine Service,280.46
MNT-300008,EQ-1030,2023-07-20,Engine Overhaul,468.18
MNT-300009,EQ-1027,2024-04-29,Routine Service,1085.0
MNT-300010,EQ-1127,2023-10-06,Filter Change,1718.6
MNT-300011,EQ-1130,2023-01-26,Routine Service,1673.99
MNT-300012,EQ-1000,2023-03-07,Oil Change,1742.31
MNT-300013,EQ-1014,2023-11-18,Brake Check,523.74
MNT-300014,EQ-1033,2023-10-24,Routine Service,2924.06
MNT-300015,EQ-1115,2023-09-03,Hydraulic Repair,1785.62
MNT-300016,EQ-1125,2024-03-20,Oil Change,1468.19
MNT-300017,EQ-1013,2023-07-27,Oil Change,3430.69
MNT-300018,EQ-1134,2023-10-04,Filter Change,1160.98
MNT-300019,EQ-1034,2023-05-27,Oil Change,2638.72
MNT-300020,EQ-1130,2023-07-26,Oil Change,1537.75
MNT-300021,EQ-1074,2023-06-11,Hydraulic Repair,703.53
MNT-300022,EQ-1106,2023-08-04,Hydraulic Repair,907.22
MNT-300023,EQ-1027,2023-06-25,Oil Change,412.21
MNT-300024,EQ-1119,2024-02-29,Engine Overhaul,401.32
MNT-300025,EQ-1038,2023-07-14,Routine Service,1859.21
MNT-300026,EQ-1006,2024-03-09,Engine Overhaul,3378.01
MNT-300027,EQ-1134,2023-12-12,Brake Check,1771.4
MNT-300028,EQ-1124,2023-02-02,Unknown,1380.32
MNT-300029,EQ-1141,2023-04-04,Brake Check,700.37
MNT-300030,EQ-1077,2023-04-04,Tire Replacement,3074.25
MNT-300031,EQ-1121,2023-01-06,Oil Change,379.1
MNT-300032,EQ-1053,2023-07-21,Filter Change,1916.16
MNT-300033,EQ-1103,2023-03-02,Routine Service,973.83
MNT-300034,EQ-1140,2023-05-20,Brake Check,979.54
MNT-300035,EQ-1105,2023-02-28,Filter Change,497.13
MNT-300036,EQ-1043,2023-02-05,Hydraulic Repair,1705.5
MNT-300037,EQ-1116,2023-11-19,Brake Check,212.48
MNT-300038,EQ-1107,2023-02-18,Brake Check,2782.02
MNT-300039,EQ-1111,2023-10-11,Engine Overhaul,2370.27
MNT-300040,EQ-1120,2024-02-03,Filter Change,133.32
MNT-300041,EQ-1049,2023-04-29,Oil Change,1184.72
MNT-300042,EQ-1132,2023-11-19,Oil Change,900.97
MNT-300043,EQ-1142,2023-04-20,Brake Check,1430.35
MNT-300044,EQ-1115,2023-05-28,Routine Service,3396.67
MNT-300045,EQ-1133,2024-03-11,Oil Change,446.55
MNT-300046,EQ-1109,2024-01-21,Filter Change,1706.4
MNT-300047,EQ-1082,2024-04-11,Filter Change,1087.0
MNT-300048,EQ-1068,2024-02-10,Tire Replacement,1372.55
MNT-300049,EQ-1148,2023-04-18,Filter Change,1721.33
MNT-300050,EQ-1114,2024-04-18,Filter Change,753.69
MNT-300051,EQ-1069,2023-10-30,Oil Change,1798.78
MNT-300052,EQ-1069,2024-01-15,Engine Overhaul,3291.65
MNT-300053,EQ-1039,2023-09-19,Oil Change,1653.92
MNT-300054,EQ-1018,2023-06-02,Routine Service,2424.37
MNT-300055,EQ-1096,2024-04-17,Tire Replacement,1942.28
MNT-300056,EQ-1121,2023-05-01,Tire Replacement,1885.0
MNT-300057,EQ-1115,2024-01-18,Oil Change,648.5
MNT-300058,EQ-1029,2023-07-19,Engine Overhaul,2455.11
MNT-300059,EQ-1023,2023-02-26,Routine Service,2730.16
MNT-300060,EQ-1083,2023-05-10,Brake Check,384.93
MNT-300061,EQ-1020,2023-11-30,Filter Change,2060.25
MNT-300062,EQ-1079,2024-02-07,Engine Overhaul,464.78
MNT-300063,EQ-1121,2024-05-10,Tire Replacement,1588.55
MNT-300064,EQ-1107,2024-04-09,Routine Service,1688.42
MNT-300065,EQ-1096,2023-11-15,Brake Check,3286.48
MNT-300066,EQ-1050,2023-08-28,Routine Service,903.12
MNT-300067,EQ-1058,2023-11-05,Tire Replacement,2780.78
MNT-300068,EQ-1104,2024-01-12,Routine Service,2277.54
MNT-300069,EQ-1055,2023-07-28,Engine Overhaul,2524.37
MNT-300070,EQ-1146,2023-01-29,Brake Check,353.77
MNT-300071,EQ-1010,2024-02-05,Hydraulic Repair,734.84
MNT-300072,EQ-1081,2023-10-02,Oil Change,1798.78
MNT-300073,EQ-1106,2024-02-19,Brake Check,2604.76
MNT-300074,EQ-1112,2023-05-07,Oil Change,152.32
MNT-300075,EQ-1124,2023-10-25,Oil Change,3022.02
MNT-300076,EQ-1120,2024-02-08,Tire Replacement,1398.8
MNT-300077,EQ-1066,2024-03-04,Brake Check,2800.87
MNT-300078,EQ-1147,2023-04-29,Tire Replacement,1395.58
MNT-300079,EQ-1081,2023-06-07,Routine Service,1798.78
MNT-300080,EQ-1003,2023-12-07,Hydraulic Repair,1334.49
MNT-300081,EQ-1017,2023-12-29,Brake Check,3122.97
MNT-300082,EQ-1086,2023-10-17,Brake Check,1710.16
MNT-300083,EQ-1032,2024-02-27,Oil Change,515.29
MNT-300084,EQ-1039,2023-10-07,Oil Change,910.07
MNT-300085,EQ-1120,2023-01-12,Oil Change,3049.32
MNT-300086,EQ-1106,2023-09-20,Oil Change,2130.16
MNT-300087,EQ-1097,2023-11-26,Engine Overhaul,1391.3
MNT-300088,EQ-1059,2023-05-01,Hydraulic Repair,2876.32
MNT-300089,EQ-1096,2024-05-06,Tire Replacement,453.88
MNT-300090,EQ-1030,2023-08-23,Filter Change,499.29
MNT-300091,EQ-1083,2023-09-04,Routine Service,2763.89
MNT-300092,EQ-1045,2023-06-07,Routine Service,3009.25
