Lease_ID,Equipment_ID,Lessee_Farm_ID,Lease_Date
LSE-400001,EQ-1070,FARM-238,2023-11-23
LSE-400002,EQ-1010,FARM-224,2023-08-30
LSE-400003,EQ-1075,FARM-206,2023-06-19
LSE-400004,EQ-1031,FARM-GENERIC,2023-12-08
LSE-400005,EQ-1084,FARM-205,2024-01-15
LSE-400006,EQ-1143,FARM-239,2023-08-13
LSE-400008,EQ-1133,FARM-239,2023-02-27
LSE-400009,EQ-1134,FARM-229,2023-08-05
LSE-400010,EQ-1095,FARM-230,2023-05-23
LSE-400011,EQ-1015,FARM-220,2024-01-09
LSE-400012,EQ-1147,FARM-203,2023-09-26
LSE-400013,EQ-1039,FARM-225,2024-02-24
LSE-400014,EQ-1041,FARM-GENERIC,2023-10-21
LSE-400015,EQ-1060,FARM-220,2023-03-09
LSE-400016,EQ-1115,FARM-233,2023-06-01
LSE-400017,EQ-1129,FARM-205,2023-07-09
LSE-400018,EQ-1047,FARM-241,2023-06-02
LSE-400019,EQ-1125,FARM-209,2023-10-31
LSE-400020,EQ-1034,FARM-203,2023-05-20
LSE-400021,EQ-1014,FARM-219,2023-03-13
LSE-400022,EQ-1126,FARM-224,2023-11-16
LSE-400023,EQ-1122,FARM-245,2024-01-14
LSE-400024,EQ-1129,FARM-220,2023-07-19
LSE-400025,EQ-1130,FARM-222,2023-08-23
LSE-400026,EQ-1004,FARM-243,2024-05-08
LSE-400027,EQ-1093,FARM-239,2024-01-26
LSE-400028,EQ-1050,FARM-248,2023-11-14
LSE-400029,EQ-1021,FARM-235,2023-09-28
LSE-400030,EQ-1027,FARM-240,2023-05-11
LSE-400031,EQ-1064,FARM-227,2024-01-07
LSE-400032,EQ-1020,FARM-245,2024-03-04
LSE-400033,EQ-1092,FARM-234,2023-01-27
LSE-400034,EQ-1012,FARM-229,2023-07-17
LSE-400035,EQ-1000,FARM-221,2023-05-09
LSE-400036,EQ-1036,FARM-249,2023-05-23
LSE-400037,EQ-1023,FARM-231,2024-01-03
LSE-400038,EQ-1072,FARM-240,2023-07-17
LSE-400039,EQ-1063,FARM-246,2024-02-14
LSE-400041,EQ-1061,FARM-245,2023-06-04
LSE-400042,EQ-1083,FARM-247,2023-06-12
LSE-400043,EQ-1006,FARM-224,2023-09-13
LSE-400044,EQ-1013,FARM-243,2023-08-09
LSE-400045,EQ-1008,FARM-210,2023-01-02
LSE-400046,EQ-1013,FARM-217,2023-02-15
LSE-400047,EQ-1129,FARM-227,2023-12-19
LSE-400048,EQ-1100,FARM-201,2023-03-11
LSE-400049,EQ-1042,FARM-244,2023-01-16
LSE-400050,EQ-1128,FARM-221,2023-06-22
LSE-400051,EQ-1035,FARM-234,2024-02-02
LSE-400052,EQ-1032,FARM-246,2023-07-12
LSE-400053,EQ-1144,FARM-209,2024-01-28
LSE-400054,EQ-1103,FARM-201,2023-05-09
LSE-400056,EQ-1029,FARM-201,2023-01-26
LSE-400057,EQ-1149,FARM-223,2023-03-17
LSE-400058,EQ-1002,FARM-248,2024-01-13
LSE-400059,EQ-1028,FARM-250,2023-12-06
LSE-400060,EQ-1054,FARM-218,2024-01-18
LSE-400061,EQ-1072,FARM-237,2023-06-03
LSE-400062,EQ-1116,FARM-240,2023-03-21
LSE-400063,EQ-1148,FARM-241,2023-02-06
LSE-400064,EQ-1020,FARM-227,2023-12-22
LSE-400065,EQ-1100,FARM-243,2023-11-18
LSE-400066,EQ-1057,FARM-243,2023-12-28
LSE-400067,EQ-1034,FARM-239,2024-05-09
LSE-400068,EQ-1117,FARM-225,2023-10-06
LSE-400069,EQ-1094,FARM-234,2023-11-23
LSE-400070,EQ-1022,FARM-226,2023-08-09
LSE-400071,EQ-1109,FARM-215,2023-06-25
LSE-400072,EQ-1130,FARM-249,2023-05-31
LSE-400073,EQ-1088,FARM-218,2024-02-07
LSE-400074,EQ-1050,FARM-250,2023-04-13
LSE-400075,EQ-1029,FARM-243,2024-01-03
LSE-400076,EQ-1060,FARM-234,2023-01-17
LSE-400078,EQ-1124,FARM-219,2024-04-10
LSE-400081,EQ-1121,FARM-GENERIC,2024-03-06
LSE-400082,EQ-1038,FARM-225,2024-04-22
LSE-400083,EQ-1024,FARM-244,2024-01-15
LSE-400084,EQ-1106,FARM-213,2023-06-07
LSE-400085,EQ-1033,FARM-235,2023-06-16
LSE-400086,EQ-1080,FARM-233,2023-01-04
LSE-400087,EQ-1038,FARM-202,2023-02-26
LSE-400088,EQ-1123,FARM-248,2023-11-06
LSE-400089,EQ-1145,FARM-226,2023-06-14
LSE-400090,EQ-1022,FARM-231,2024-04-17
LSE-400091,EQ-1004,FARM-201,2023-03-27
LSE-400092,EQ-1081,FARM-237,2024-05-08
LSE-400093,EQ-1062,FARM-204,2023-07-13
LSE-400094,EQ-1096,FARM-232,2023-12-08
LSE-400095,EQ-1021,FARM-220,2023-10-17
LSE-400096,EQ-1014,FARM-230,2023-09-20
LSE-400097,EQ-1025,FARM-202,2023-08-25
LSE-400098,EQ-1003,FARM-209,2023-03-04
LSE-400099,EQ-1086,FARM-238,2023-04-22
LSE-400100,EQ-1000,FARM-233,2023-05-20
LSE-400101,EQ-1023,FARM-216,2023-07-11
LSE-400102,EQ-1069,FARM-206,2023-12-17
LSE-400103,EQ-1123,FARM-210,2023-08-28
LSE-400104,EQ-1049,FARM-215,2024-02-13
LSE-400105,EQ-1017,FARM-213,2023-08-10
LSE-400106,EQ-1029,FARM-224,2023-10-31
LSE-400107,EQ-1089,FARM-241,2023-07-04
LSE-400108,EQ-1019,FARM-248,2024-04-21
LSE-400109,EQ-1139,FARM-236,2023-06-25
LSE-400110,EQ-1060,FARM-217,2023-03-05
LSE-400111,EQ-1095,FARM-215,2023-02-26
LSE-400112,EQ-1044,FARM-245,2023-04-18
LSE-400113,EQ-1013,FARM-247,2023-05-17
LSE-400114,EQ-1118,FARM-218,2023-02-19
LSE-400115,EQ-1142,FARM-228,2023-01-11
LSE-400117,EQ-1085,FARM-217,2023-03-21
LSE-400118,EQ-1021,FARM-GENERIC,2023-11-22
LSE-400119,EQ-1118,FARM-232,2023-03-30
LSE-400120,EQ-1117,FARM-243,2023-09-21
LSE-400121,EQ-1125,FARM-247,2023-03-20
LSE-400122,EQ-1039,FARM-250,2023-07-18
LSE-400123,EQ-1052,FARM-206,2024-01-16
LSE-400124,EQ-1072,FARM-233,2024-01-18
LSE-400125,EQ-1040,FARM-221,2023-04-27
LSE-400126,EQ-1140,FARM-214,2024-05-07
LSE-400127,EQ-1084,FARM-213,2023-01-03
LSE-400128,EQ-1145,FARM-223,2023-04-06
LSE-400129,EQ-1059,FARM-207,2023-06-23
LSE-400130,EQ-1020,FARM-203,2023-07-02
LSE-400131,EQ-1085,FARM-203,2023-12-02
LSE-400132,EQ-1123,FARM-209,2023-03-25
LSE-400133,EQ-1142,FARM-238,2023-02-27
LSE-400134,EQ-1002,FARM-234,2023-11-04
LSE-400135,EQ-1012,FARM-215,2023-09-28
LSE-400136,EQ-1025,FARM-207,2024-01-17
LSE-400137,EQ-1008,FARM-GENERIC,2023-07-24
LSE-400138,EQ-1048,FARM-215,2023-09-10
LSE-400140,EQ-1033,FARM-247,2023-09-15
LSE-400141,EQ-1063,FARM-245,2023-05-27
LSE-400142,EQ-1109,FARM-239,2023-07-13
LSE-400143,EQ-1028,FARM-204,2023-03-22
LSE-400144,EQ-1061,FARM-229,2023-10-25
LSE-400145,EQ-1129,FARM-204,2023-05-19
LSE-400146,EQ-1001,FARM-232,2023-10-22
LSE-400147,EQ-1064,FARM-238,2023-03-29
LSE-400148,EQ-1040,FARM-204,2023-04-01
LSE-400149,EQ-1013,FARM-220,2024-03-12
LSE-400150,EQ-1125,FARM-GENERIC,2024-03-14
LSE-400151,EQ-1011,FARM-207,2023-06-02
LSE-400152,EQ-1000,FARM-207,2023-02-23
LSE-400153,EQ-1109,FARM-232,2023-01-15
LSE-400154,EQ-1035,FARM-244,2023-02-07
LSE-400155,EQ-1082,FARM-213,2023-07-01
LSE-400156,EQ-1042,FARM-248,2023-05-07
LSE-400157,EQ-1122,FARM-223,2023-07-10
LSE-400158,EQ-1032,FARM-241,2023-10-09
LSE-400159,EQ-1079,FARM-212,2023-06-06
LSE-400160,EQ-1132,FARM-222,2024-03-14
LSE-400161,EQ-1075,FARM-226,2023-06-15
LSE-400162,EQ-1065,FARM-247,2023-08-14
LSE-400163,EQ-1141,FARM-237,2023-05-04
LSE-400164,EQ-1109,FARM-208,2024-05-12
LSE-400165,EQ-1036,FARM-220,2023-04-03
LSE-400166,EQ-1020,FARM-205,2024-02-27
LSE-400167,EQ-1114,FARM-208,2023-08-04
LSE-400168,EQ-1052,FARM-210,2024-02-01
LSE-400169,EQ-1028,FARM-206,2023-05-23
LSE-400170,EQ-1081,FARM-GENERIC,2024-05-11
LSE-400171,EQ-1124,FARM-204,2023-06-19
LSE-400172,EQ-1026,FARM-218,2023-05-06
LSE-400173,EQ-1037,FARM-250,2023-08-15
LSE-400174,EQ-1146,FARM-208,2023-12-10
LSE-400175,EQ-1070,FARM-201,2023-05-24
LSE-400176,EQ-1136,FARM-215,2023-03-07
LSE-400177,EQ-1010,FARM-239,2023-06-19
LSE-400178,EQ-1130,FARM-219,2023-03-06
LSE-400179,EQ-1104,FARM-231,2023-07-20
LSE-400180,EQ-1058,FARM-246,2023-04-18
LSE-400181,EQ-1091,FARM-227,2024-02-27
LSE-400182,EQ-1119,FARM-218,2023-02-12
LSE-400183,EQ-1079,FARM-201,2023-12-30
LSE-400184,EQ-1032,FARM-248,2023-11-06
LSE-400185,EQ-1038,FARM-240,2023-02-05
LSE-400186,EQ-1107,FARM-238,2023-04-23
LSE-400187,EQ-1106,FARM-206,2023-08-24
LSE-400188,EQ-1140,FARM-229,2023-11-17
LSE-400189,EQ-1014,FARM-231,2024-03-08
LSE-400191,EQ-1098,FARM-218,2023-09-30
LSE-400192,EQ-1118,FARM-206,2024-04-05
LSE-400193,EQ-1049,FARM-232,2023-08-02
LSE-400194,EQ-1071,FARM-233,2023-02-23
LSE-400195,EQ-1117,FARM-217,2023-04-26
LSE-400196,EQ-1037,FARM-208,2024-01-12
LSE-400197,EQ-1089,FARM-237,2024-03-11
LSE-400198,EQ-1075,FARM-243,2023-09-12
LSE-400199,EQ-1026,FARM-231,2024-02-13
LSE-400200,EQ-1020,FARM-228,2023-12-01
LSE-400201,EQ-1086,FARM-GENERIC,2023-07-12
LSE-400202,EQ-1027,FARM-222,2023-08-28
LSE-400203,EQ-1026,FARM-224,2023-08-21
LSE-400204,EQ-1066,FARM-249,2023-03-19
LSE-400205,EQ-1070,FARM-209,2023-12-25
LSE-400206,EQ-1112,FARM-234,2023-09-15
LSE-400207,EQ-1039,FARM-216,2023-12-12
LSE-400208,EQ-1070,FARM-247,2023-04-02
LSE-400209,EQ-1039,FARM-246,2023-10-13
LSE-400210,EQ-1149,FARM-243,2024-04-06
LSE-400211,EQ-1145,FARM-236,2023-11-22
LSE-400212,EQ-1147,FARM-246,2023-05-05
LSE-400213,EQ-1126,FARM-223,2023-10-07
LSE-400214,EQ-1062,FARM-220,2023-05-14
LSE-400215,EQ-1011,FARM-250,2024-03-28
LSE-400216,EQ-1003,FARM-240,2023-05-25
LSE-400217,EQ-1005,FARM-245,2023-02-25
LSE-400218,EQ-1072,FARM-233,2023-10-27
LSE-400219,EQ-1081,FARM-204,2023-07-10
LSE-400220,EQ-1098,FARM-209,2024-04-17
LSE-400221,EQ-1113,FARM-227,2023-10-12
LSE-400222,EQ-1113,FARM-219,2024-04-28
LSE-400223,EQ-1083,FARM-237,2023-08-12
LSE-400224,EQ-1035,FARM-205,2023-06-18
LSE-400225,EQ-1073,FARM-235,2023-11-10
LSE-400226,EQ-1083,FARM-218,2023-08-05
LSE-400227,EQ-1130,FARM-237,2023-10-27
LSE-400228,EQ-1001,FARM-248,2023-08-14
LSE-400229,EQ-1071,FARM-226,2023-07-29
LSE-400230,EQ-1092,FARM-244,2023-03-25
LSE-400231,EQ-1026,FARM-209,2024-02-19
LSE-400232,EQ-1005,FARM-GENERIC,2023-03-24
LSE-400233,EQ-1006,FARM-247,2023-10-16
LSE-400234,EQ-1020,FARM-247,2024-01-25
LSE-400235,EQ-1003,FARM-226,2023-08-10
LSE-400237,EQ-1041,FARM-246,2023-02-14
LSE-400238,EQ-1007,FARM-238,2023-02-14
LSE-400239,EQ-1026,FARM-226,2023-09-08
LSE-400240,EQ-1059,FARM-239,2023-12-19
LSE-400241,EQ-1074,FARM-240,2024-02-25
LSE-400242,EQ-1060,FARM-212,2023-09-01
LSE-400243,EQ-1017,FARM-238,2023-04-23
LSE-400244,EQ-1126,FARM-222,2024-03-27
LSE-400245,EQ-1139,FARM-231,2023-06-28
LSE-400246,EQ-1068,FARM-216,2023-08-13
LSE-400247,EQ-1125,FARM-247,2023-06-22
LSE-400248,EQ-1025,FARM-230,2023-02-16
LSE-400249,EQ-1030,FARM-227,2023-09-27
LSE-400250,EQ-1085,FARM-237,2023-10-13
LSE-400251,EQ-1096,FARM-214,2024-04-16
LSE-400252,EQ-1149,FARM-219,2023-12-01
LSE-400253,EQ-1010,FARM-221,2023-12-23
LSE-400254,EQ-1069,FARM-237,2023-11-08
LSE-400255,EQ-1086,FARM-246,2023-03-03
LSE-400256,EQ-1028,FARM-GENERIC,2023-02-10
LSE-400257,EQ-1136,FARM-230,2024-02-21
LSE-400258,EQ-1004,FARM-223,2024-04-01
LSE-400259,EQ-1024,FARM-213,2023-09-10
