Repair_ID,Equipment_ID,Repair_Date,Part_Replaced
RPR-500001,EQ-1125,2024-03-15,Clutch Plate
RPR-500002,EQ-1055,2024-03-28,Alternator
RPR-500003,EQ-1119,2023-11-11,Battery
RPR-500004,EQ-1097,2024-03-14,Clutch Plate
RPR-500005,EQ-1089,2023-02-13,Radiator
RPR-500006,EQ-1015,2023-05-07,Alternator
RPR-500007,EQ-1141,2023-11-14,Battery
RPR-500008,EQ-1038,2023-05-30,Fuel Injector
RPR-500009,EQ-1104,2024-04-28,Battery
RPR-500010,EQ-1143,2023-12-14,Alternator
RPR-500011,EQ-1142,2024-04-26,Battery
RPR-500012,EQ-1025,2023-12-21,Clutch Plate
RPR-500013,EQ-1081,2023-05-20,Hydraulic Pump
RPR-500014,EQ-1028,2024-02-18,Clutch Plate
RPR-500015,EQ-1081,2024-02-04,Fuel Injector
RPR-500016,EQ-1146,2023-12-07,Alternator
RPR-500017,EQ-1023,2024-05-11,Transmission Belt
RPR-500018,EQ-1092,2023-11-23,Battery
RPR-500019,EQ-1035,2023-12-28,Battery
RPR-500020,EQ-1112,2023-04-05,Transmission Belt
RPR-500021,EQ-1129,2023-06-17,Radiator
RPR-500022,EQ-1056,2024-01-11,Radiator
RPR-500023,EQ-1071,2023-10-26,Radiator
RPR-500024,EQ-1123,2023-10-24,General Component
RPR-500025,EQ-1129,2024-04-01,Battery
RPR-500026,EQ-1138,2023-10-08,Radiator
RPR-500027,EQ-1148,2023-02-20,Starter Motor
RPR-500028,EQ-1030,2024-01-16,Battery
RPR-500029,EQ-1036,2024-04-01,Radiator
RPR-500030,EQ-1142,2023-01-16,Fuel Injector
RPR-500031,EQ-1055,2023-06-22,Hydraulic Pump
RPR-500032,EQ-1134,2023-08-04,Battery
RPR-500033,EQ-1066,2023-08-28,Transmission Belt
RPR-500034,EQ-1147,2024-04-15,Battery
RPR-500035,EQ-1116,2023-07-15,Starter Motor
RPR-500036,EQ-1116,2023-03-31,Transmission Belt
RPR-500037,EQ-1042,2023-04-27,Hydraulic Pump
RPR-500038,EQ-1060,2023-11-06,Hydraulic Pump
RPR-500039,EQ-1005,2024-05-02,Radiator
RPR-500040,EQ-1080,2023-01-17,Battery
RPR-500041,EQ-1034,2023-05-25,Radiator
RPR-500042,EQ-1000,2024-02-13,Hydraulic Pump
RPR-500043,EQ-1058,2023-08-28,Alternator
RPR-500044,EQ-1077,2023-08-23,Alternator
RPR-500045,EQ-1077,2023-04-25,Battery
RPR-500046,EQ-1106,2024-04-28,Transmission Belt
RPR-500047,EQ-1081,2023-11-27,Alternator
RPR-500048,EQ-1051,2024-04-20,Battery
RPR-500049,EQ-1119,2023-10-18,Radiator
RPR-500050,EQ-1100,2023-04-13,Clutch Plate
RPR-500051,EQ-1086,2023-06-24,Alternator
RPR-500052,EQ-1037,2023-07-20,General Component
RPR-500053,EQ-1136,2023-02-28,Starter Motor
RPR-500054,EQ-1094,2023-11-04,Transmission Belt
RPR-500055,EQ-1029,2024-02-26,Hydraulic Pump
RPR-500056,EQ-1146,2023-01-03,Radiator
RPR-500057,EQ-1117,2023-11-04,Radiator
RPR-500058,EQ-1148,2024-01-28,Clutch Plate
RPR-500059,EQ-1022,2023-07-10,Alternator
RPR-500060,EQ-1095,2023-09-17,Hydraulic Pump
RPR-500061,EQ-1047,2024-01-28,Alternator
RPR-500062,EQ-1119,2023-03-25,Hydraulic Pump
RPR-500063,EQ-1018,2023-05-22,Clutch Plate
RPR-500064,EQ-1009,2024-01-28,Clutch Plate
RPR-500065,EQ-1113,2023-04-08,Fuel Injector
RPR-500066,EQ-1044,2023-10-03,Clutch Plate
RPR-500067,EQ-1095,2023-03-12,Radiator
RPR-500068,EQ-1033,2023-09-24,Starter Motor
RPR-500069,EQ-1119,2023-03-01,Transmission Belt
