Usage_ID,Equipment_ID,Operator_ID,Usage_Date,Hours_Used
USG-100001,EQ-1036,OP-200,2023-11-11,3.47
USG-100002,EQ-1134,OP-208,2024-05-03,11.88
USG-100003,EQ-1099,OP-205,2023-11-22,9.35
USG-100004,EQ-1017,OP-213,2024-01-31,2.9
USG-100005,EQ-1086,OP-222,2024-03-01,8.8
USG-100006,EQ-1034,OP-258,2023-01-19,6.77
USG-100007,EQ-1010,OP-239,2023-09-21,6.47
USG-100008,EQ-1048,OP-206,2024-03-19,9.89
USG-100009,EQ-1102,OP-249,2023-06-23,6.72
USG-100010,EQ-1132,OP-210,2024-01-08,11.95
USG-100011,EQ-1075,OP-210,2023-06-17,7.83
USG-100012,EQ-1113,OP-205,2024-01-08,11.98
USG-100013,EQ-1014,OP-251,2023-07-06,3.18
USG-100014,EQ-1112,OP-208,2023-05-01,5.52
USG-100015,EQ-1039,OP-247,2023-07-10,6.77
USG-100016,EQ-1093,OP-235,2023-05-08,6.77
USG-100017,EQ-1132,OP-271,2023-03-02,6.19
USG-100018,EQ-1073,OP-262,2023-04-13,6.25
USG-100019,EQ-1113,OP-240,2023-12-08,6.77
USG-100020,EQ-1076,OP-222,2024-02-11,11.84
USG-100021,EQ-1060,OP-203,2023-07-04,9.94
USG-100022,EQ-1022,OP-250,2024-01-03,9.58
USG-100023,EQ-1018,OP-240,2023-11-25,6.93
USG-100024,EQ-1141,OP-223,2024-01-29,11.06
USG-100025,EQ-1031,OP-238,2023-03-26,3.87
USG-100026,EQ-1132,OP-210,2023-05-09,4.38
USG-100027,EQ-1136,OP-221,2023-10-31,8.42
USG-100028,EQ-1086,OP-272,2023-01-22,6.77
USG-100029,EQ-1147,OP-226,2024-01-28,1.82
USG-100030,EQ-1139,OP-238,2023-09-05,5.76
USG-100031,EQ-1015,OP-253,2023-09-05,3.01
USG-100032,EQ-1081,OP-244,2024-05-14,6.91
USG-100033,EQ-1061,OP-234,2023-08-19,4.55
USG-100034,EQ-1107,OP-220,2024-02-21,4.78
USG-100035,EQ-1127,OP-259,2023-09-13,2.45
USG-100036,EQ-1117,OP-227,2023-10-26,6.77
USG-100038,EQ-1103,OP-251,2023-01-27,7.31
USG-100039,EQ-1129,OP-270,2023-05-24,7.92
USG-100040,EQ-1024,OP-243,2023-10-13,3.59
USG-100041,EQ-1128,OP-204,2023-03-12,6.95
USG-100042,EQ-1131,OP-278,2023-06-13,9.26
USG-100043,EQ-1086,OP-265,2023-09-30,6.49
USG-100045,EQ-1121,OP-274,2023-10-23,6.77
USG-100046,EQ-1134,OP-279,2024-02-01,8.65
USG-100047,EQ-1028,OP-256,2023-06-10,3.64
USG-100048,EQ-1120,OP-207,2023-12-28,4.91
USG-100049,EQ-1134,OP-222,2023-08-24,5.22
USG-100050,EQ-1067,OP-224,2024-05-05,3.86
USG-100051,EQ-1076,OP-226,2023-12-20,5.16
USG-100052,EQ-1070,OP-273,2023-12-13,5.64
USG-100053,EQ-1037,OP-236,2024-05-04,6.14
USG-100054,EQ-1122,OP-268,2023-05-19,2.94
USG-100055,EQ-1061,OP-267,2023-04-26,6.77
USG-100056,EQ-1120,OP-217,2023-01-03,3.16
USG-100057,EQ-1121,OP-225,2024-01-23,8.28
USG-100058,EQ-1022,OP-229,2023-10-01,1.89
USG-100059,EQ-1106,OP-222,2024-04-23,5.67
USG-100060,EQ-1074,OP-201,2023-06-02,11.82
USG-100061,EQ-1139,OP-217,2024-03-11,9.99
USG-100062,EQ-1117,OP-223,2023-01-08,7.46
USG-100063,EQ-1044,OP-251,2024-02-28,5.71
USG-100064,EQ-1035,OP-231,2023-01-04,9.41
USG-100065,EQ-1077,OP-273,2023-01-06,3.98
USG-100066,EQ-1119,OP-251,2023-12-18,8.89
USG-100067,EQ-1030,OP-237,2023-07-08,2.9
USG-100068,EQ-1095,OP-270,2024-04-12,8.47
USG-100069,EQ-1063,OP-276,2024-03-23,7.05
USG-100070,EQ-1144,OP-270,2024-04-07,3.07
USG-100071,EQ-1133,OP-226,2024-01-03,6.86
USG-100072,EQ-1116,OP-253,2023-08-22,8.56
USG-100073,EQ-1005,OP-200,2024-01-17,6.77
USG-100074,EQ-1016,OP-207,2024-04-23,6.46
USG-100075,EQ-1046,OP-253,2023-07-11,10.63
USG-100076,EQ-1096,OP-269,2023-03-10,3.37
USG-100077,EQ-1135,OP-228,2024-03-03,6.77
USG-100078,EQ-1139,OP-248,2024-02-26,3.13
USG-100079,EQ-1028,OP-253,2023-11-11,1.66
USG-100080,EQ-1025,OP-257,2023-11-03,4.07
USG-100081,EQ-1112,OP-227,2024-01-22,6.77
USG-100082,EQ-1074,OP-273,2023-06-13,10.09
USG-100083,EQ-1036,OP-266,2023-04-24,7.35
USG-100084,EQ-1044,OP-254,2023-10-12,11.39
USG-100085,EQ-1134,OP-253,2023-07-29,9.42
USG-100086,EQ-1057,OP-218,2024-02-17,6.77
USG-100087,EQ-1106,OP-217,2023-07-18,8.29
USG-100088,EQ-1094,OP-224,2023-01-27,7.83
USG-100089,EQ-1048,OP-275,2024-01-06,3.69
USG-100090,EQ-1077,OP-201,2023-04-19,2.73
USG-100091,EQ-1122,OP-277,2023-12-27,7.3
USG-100092,EQ-1097,OP-245,2023-06-07,6.72
USG-100093,EQ-1120,OP-240,2024-04-13,1.98
USG-100094,EQ-1037,OP-UNKNOWN,2023-10-11,5.88
USG-100095,EQ-1084,OP-272,2024-03-02,11.41
USG-100096,EQ-1125,OP-262,2023-08-24,3.28
USG-100097,EQ-1125,OP-269,2023-11-25,10.31
USG-100098,EQ-1012,OP-252,2023-03-12,8.93
USG-100100,EQ-1004,OP-UNKNOWN,2023-10-10,6.77
USG-100101,EQ-1137,OP-202,2023-09-15,9.96
USG-100102,EQ-1027,OP-267,2023-03-18,4.15
USG-100103,EQ-1101,OP-251,2023-08-24,3.87
USG-100104,EQ-1020,OP-204,2023-02-17,6.5
USG-100105,EQ-1043,OP-255,2023-11-27,10.51
USG-100106,EQ-1135,OP-229,2023-04-19,7.45
USG-100107,EQ-1019,OP-235,2024-04-05,3.38
USG-100108,EQ-1004,OP-275,2023-03-15,5.68
USG-100109,EQ-1041,OP-272,2024-03-03,7.18
USG-100110,EQ-1035,OP-210,2023-09-14,2.53
USG-100111,EQ-1019,OP-278,2024-05-03,4.93
USG-100112,EQ-1115,OP-245,2023-10-11,8.64
USG-100113,EQ-1021,OP-237,2024-02-13,6.77
USG-100114,EQ-1097,OP-219,2024-01-14,2.46
USG-100115,EQ-1113,OP-234,2023-02-22,6.21
